source,pt_PT
"If checked, the full amount will be deducted from taxable income before calculating income tax without any declaration or proof submission.","Se marcada, o valor integral será deduzido do lucro tributável antes da apuração do imposto de renda, sem qualquer declaração ou apresentação de comprovante."
"If enabled, Tax Exemption Declaration will be considered for income tax calculation.","Se habilitado, a Declaração de Isenção Fiscal será considerada para cálculo do Imposto de Renda."
"If enabled, auto attendance will be marked on holidays if Employee Checkins exist","Se ativado, o atendimento automático será marcado em feriados se existirem Checkins de Funcionários"
"If enabled, deducts payment days for absent attendance on holidays. By default, holidays are considered as paid","Se habilitado, deduz dias de pagamento por faltas em feriados. Por padrão, os feriados são considerados pagos"
"If enabled, the amount will be excluded from accounting entries during Journal Entry creation.","Se ativado, o valor será excluído dos lançamentos contábeis durante a criação do lançamento contábil manual."
"If enabled, the component will be considered as a tax component and the amount will be auto-calculated as per the configured income tax slabs","Se habilitado, o componente será considerado como componente tributário e o valor será calculado automaticamente conforme as lajes de Imposto de Renda configuradas"
"If enabled, the component will be considered in the Income Tax Deductions report","Se habilitado, o componente será considerado no relatório Deduções do Imposto de Renda"
"If enabled, the component will not be displayed in the salary slip if the amount is zero","Se habilitado, o componente não será exibido no comprovante de salário se o valor for zero"
"If enabled, the total no. of applications received for this opening will be displayed on the website","Se ativado, o número total. das inscrições recebidas para esta vaga serão divulgadas no site"
"If enabled, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","Se habilitado, o valor especificado ou calculado neste componente não contribuirá para os rendimentos ou deduções. Porém, seu valor pode ser referenciado por outros componentes que podem ser somados ou deduzidos."
"If enabled, this component allows to accrue amounts without adding them to earnings. The accrued balance is tracked in the Employee Benefit Ledger and can be paid out later as needed.","Se habilitado, este componente permite acumular valores sem adicioná-los aos ganhos. O saldo acumulado é rastreado no Livro de Benefícios do Empregado e pode ser pago posteriormente, conforme necessário."
"If enabled, this component will be included in arrear calculations","Se ativado, este componente será incluído nos cálculos de atraso"
"If enabled, total no. of working days will include holidays, and this will reduce the value of Salary Per Day","Se ativado, total não. de dias úteis incluirá feriados, e isso reduzirá o valor do Salário por Dia"
"If greater than zero, this sets the maximum benefit amount assignable to any employee","Se for maior que zero, define o valor máximo do benefício atribuível a qualquer funcionário"
"If not checked, the list will have to be added to each Department where it has to be applied.","Caso não esteja marcada, a lista deverá ser adicionada a cada Departamento onde deverá ser aplicada."
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","Se selecionado, o valor especificado ou calculado neste componente não contribuirá para os rendimentos ou deduções. Porém, seu valor pode ser referenciado por outros componentes que podem ser somados ou deduzidos."
"If set, the job opening will be closed automatically after this date","Se definido, a vaga será fechada automaticamente após esta data"
"If you are using loans in salary slips, please install the {0} app from Frappe Cloud Marketplace or GitHub to continue using loan integration with payroll.","Se você estiver usando empréstimos em comprovantes de salário, instale o aplicativo {0} do Frappe Cloud Marketplace ou GitHub para continuar usando a integração do empréstimo com a folha de pagamento."
Import Attendance,Atendimento de Importação
Import Log,Registro de importação
Importing {0} of {1},Importando {0} de {1}
In Process,Em processo
In Progress,Em andamento
In Time,Com o tempo
"In case of any error during this background process, the system will add a comment about the error on this Payroll Entry and revert to the Submitted status","Caso ocorra algum erro durante esse processo em background, o sistema adicionará um comentário sobre o erro neste Lançamento da Folha de Pagamento e reverterá para o status Enviado"
Inactive,Inativo
Incentive,Incentivo
Incentive Amount,Valor do incentivo
Include Company Descendants,Incluir descendentes da empresa
Include Holidays,Incluir feriados
Include Shift Attendance Without Checkins,Incluir presença em turnos sem check-ins
Include holidays in Total no. of Working Days,Incluir feriados no total no. de dias úteis
Include holidays within leaves as leaves,Incluir feriados nas folhas como folhas
Income Source,Fonte de renda
Income Tax Amount,Valor do imposto de renda
Income Tax Breakup,Separação do Imposto de Renda
Income Tax Component,Componente de imposto de renda
Income Tax Computation,Cálculo do Imposto de Renda
Income Tax Deducted Till Date,Imposto de renda deduzido até a data
Income Tax Deductions,Deduções de imposto de renda
Income Tax Slab,Laje de Imposto de Renda
Income Tax Slab Other Charges,Laje de Imposto de Renda Outros Encargos
Income Tax Slab is mandatory since the Salary Structure {0} has a tax component {1},"A Tabela de Imposto de Renda é obrigatória, pois a Estrutura Salarial {0} possui um componente tributário {1}"
Income Tax Slab must be effective on or before Payroll Period Start Date: {0},A tabela de imposto de renda deve entrar em vigor na data de início do período da folha de pagamento ou antes: {0}
Income Tax Slab not set in Salary Structure Assignment: {0},Placa de Imposto de Renda não definida na Atribuição de Estrutura Salarial: {0}
Income Tax Slab: {0} is disabled,Placa de Imposto de Renda: {0} está desativada
Income from Other Sources,Renda de outras fontes
Incorrect Weightage Allocation,Alocação de peso incorreta
"Indicates the number of leaves that cannot be encashed from the leave balance. E.g. with a leave balance of 10 and 4 Non-Encashable Leaves, you can encash 6, while the remaining 4 can be carried forward or expired","Indica o número de folhas que não podem ser cobradas do saldo de férias. Por exemplo com um saldo de licenças de 10 e 4 licenças não recuperáveis, você pode acumular 6, enquanto as 4 restantes podem ser transportadas ou expiradas"
Inspection,Inspeção
Install,Instalar
Install Frappe HR,Instale o Frappe HR
Insufficient Balance,Saldo insuficiente
Insufficient leave balance for Leave Type {0},Saldo de licença insuficiente para o tipo de licença {0}
Interest,Interesse
Interest Amount,Valor dos juros
Interest Income Account,Conta de receita de juros
Intermediate,Intermediário
Intern,Estagiário
International,Internacional
Internet,Internet
Interview,Entrevista
Interview Detail,Detalhes da entrevista
Interview Details,Detalhes da entrevista
Interview Feedback,Feedback da entrevista
Interview Feedback Reminder,Lembrete de feedback da entrevista
Interview Feedback {0} submitted successfully,Feedback da entrevista {0} enviado com sucesso
Interview Not Rescheduled,Entrevista não remarcada
Interview Reminder,Lembrete de entrevista
Interview Reminder Notification Template,Modelo de notificação de lembrete de entrevista
Interview Rescheduled successfully,Entrevista remarcada com sucesso
Interview Round,Rodada de entrevistas
Interview Scheduled Date,Data agendada para entrevista
Interview Status,Status da entrevista
Interview Summary,Resumo da entrevista
Interview Type,Tipo de entrevista
Interview Type Name,Nome do tipo de entrevista
Interview Type {0} is only applicable for the Designation {1},O tipo de entrevista {0} é aplicável apenas para a designação {1}
Interview Type {0} is only for Designation {1}. Job Applicant has applied for the role {2},O tipo de entrevista {0} é apenas para a designação {1}. O candidato a emprego se inscreveu para a função {2}
Interview: {0} Rescheduled,Entrevista: {0} remarcada
Interviewer,Entrevistador
Interviewers,Entrevistadores
Introduction,Introdução
Invalid,Inválido
Invalid Accrual Component,Componente de acumulação inválido
Invalid Action,Ação inválida
Invalid Additional Salary,Salário Adicional Inválido
Invalid Arrear Component,Componente atrasado inválido
Invalid Benefit Amounts,Valores de benefícios inválidos
Invalid Cost Center,Centro de custo inválido
Invalid Dates,Datas inválidas
Invalid LWP Days Reversed,Dias LWP inválidos revertidos
Invalid Leave Ledger Entry,Entrada de razão de licença inválida
Invalid Payroll Payable Account. The account currency must be {0} or {1},Conta a pagar de folha de pagamento inválida. A moeda da conta deve ser {0} ou {1}
Invalid Shift Times,Horários de turno inválidos
Invalid parameters provided. Please pass the required arguments.,"Parâmetros inválidos fornecidos. Por favor, passe os argumentos necessários."
Investigated,Investigado
Investigation Details,Detalhes da investigação
Invited,Convidado
Invoice Ref,Referência da fatura
Is Active,Está ativo
Is Allocated,Está alocado
Is Applicable for Referral Bonus,É aplicável para bônus de indicação
Is Carry Forward,É transportado
Is Compensatory,É compensatório
Is Compensatory Leave,É licença compensatória
Is Earned Leave,É licença ganha
Is Expired,Está expirado
Is Flexible Benefit,É um benefício flexível
Is Income Tax Component,É componente do imposto de renda
Is Leave Without Pay,É licença sem remuneração
Is Mandatory,É obrigatório
Is Optional Leave,É licença opcional
Is Paid,É pago
Is Partially Paid Leave,É licença parcialmente remunerada
Is Recurring,É recorrente
Is Recurring Additional Salary,É salário adicional recorrente
Is Salary Released,O salário é liberado
Is Salary Withheld,O salário é retido
Is Tax Applicable,O imposto é aplicável
Jan,janeiro
Job Applicant,Candidato a emprego
Job Applicant Source,Fonte do candidato a emprego
Job Applicant {0} created successfully.,Candidato a emprego {0} criado com sucesso.
Job Applicants are not allowed to appear twice for the same Interview Type. Interview {0} already scheduled for Job Applicant {1},Os candidatos a emprego não podem comparecer duas vezes para o mesmo tipo de entrevista. Entrevista {0} já agendada para o candidato a emprego {1}
Job Description,Descrição do trabalho
Job Offer,Oferta de emprego
Job Offer Term,Termo de oferta de emprego
Job Offer Term Template,Modelo de termo de oferta de emprego
Job Offer Terms,Termos da oferta de emprego
Job Offer status,Status da oferta de emprego
Job Offer: {0} is already for Job Applicant: {1},Oferta de Emprego: {0} já é para Candidato a Emprego: {1}
Job Opening,Abertura de emprego
Job Opening Associated,Vaga de Emprego Associada
Job Opening Template,Modelo de abertura de emprego
Job Openings,Vagas de emprego
Job Openings for the designation {0} are already open or the hiring is complete as per the Staffing Plan {1},As vagas para a designação {0} já estão abertas ou a contratação foi concluída conforme Plano de Pessoal {1}
Job Requisition,Requisição de Trabalho
Job Requisition {0} has been associated with Job Opening {1},A requisição de emprego {0} foi associada à vaga de emprego {1}
Job Title,Cargo
"Job profile, qualifications required etc.","Perfil do trabalho, qualificações exigidas, etc."
Joining Date,Data de adesão
July,Julho
June,Junho
KRA,KRA
KRA Evaluation Method,Método de avaliação KRA
KRA updated for all child goals.,KRA atualizado para todos os objetivos infantis.
KRA vs Goals,KRA vs Gols
KRAs,KRAs
Key Performance Area,Área-chave de desempenho
Key Responsibility Area,Área de responsabilidade principal
Key Result Area,Área de resultados principais
Keyboard Shortcuts,Atalhos de teclado
LWP Days Reversed ({0}) does not match actual Payroll Corrections total ({1}) for employee {2} from {3} to {4},Os dias de LWP revertidos ({0}) não correspondem ao total real de correções da folha de pagamento ({1}) do funcionário {2} de {3} a {4}
Last Day,Último dia
Last Known Successful Sync of Employee Checkin. Reset this only if you are sure that all Logs are synced from all the locations. Please don't modify this if you are unsure.,"Última sincronização bem-sucedida conhecida de check-in de funcionários. Redefina isso somente se tiver certeza de que todos os logs estão sincronizados de todos os locais. Por favor, não modifique isso se não tiver certeza."
Last Name,Sobrenome
Last Odometer Value ,Último valor do odômetro
Last Sync of Checkin,Última sincronização de check-in
Late Entries,Entradas atrasadas
Late Entry,Entrada tardia
Late Entry & Early Exit Settings for Auto Attendance,Configurações de entrada tardia e saída antecipada para atendimento automático
Late Entry By,Entrada tardia por
Late Entry Grace Period,Período de carência para entrada tardia
Latitude,Latitude
Latitude and longitude values are required for checking in.,Os valores de latitude e longitude são obrigatórios para o check-in.
Leave,Deixar
Leave Adjustment,Deixar ajuste
Leave Adjustment for this allocation already exists: {0}. Please amend existing adjustment.,Já existe ajuste de licença para esta alocação: {0}. Altere o ajuste existente.
Leave Allocation,Deixar Alocação
Leave Allocation Exists,A alocação de licença existe
Leave Allocations,Deixar Alocações
Leave Application,Sair do aplicativo
Leave Application period cannot be across two non-consecutive leave allocations {0} and {1}.,O período de solicitação de licença não pode ocorrer entre duas alocações de licença não consecutivas {0} e {1}.
Leave Approval Notification,Deixar notificação de aprovação
Leave Approval Notification Template,Modelo de notificação de aprovação de licença
Leave Approver,Deixar aprovador
Leave Approver Mandatory In Leave Application,Deixar o aprovador obrigatório no pedido de licença
Leave Approver Name,Deixe o nome do aprovador
Leave Balance,Sair do saldo
Leave Balance Before Application,Deixe saldo antes da aplicação
Leave Block List,Sair da lista de bloqueios
Leave Block List Allow,Deixar lista de bloqueios permitido
Leave Block List Allowed,Deixar a lista de bloqueios permitida
Leave Block List Date,Sair da data da lista de bloqueios
Leave Block List Dates,Sair das datas da lista de bloqueios
Leave Block List Name,Deixar o nome da lista de bloqueios
Leave Blocked,Deixar bloqueado
Leave Control Panel,Sair do painel de controle
Leave Details,Deixe detalhes
Leave Encashment,Sair do reembolso
Leave Encashment Amount Per Day,Deixe o valor do reembolso por dia
Leave Ledger,Sair do razão
Leave Ledger Entry,Sair da entrada do razão
"Leave Ledger Entry's To date needs to be after From date. Currently, From Date is {0} and To Date is {1}","A data final da entrada do razão deve ser posterior à data inicial. Atualmente, a data inicial é {0} e a data final é {1}"
Leave Period,Período de licença
Leave Policy,Política de licença
Leave Policy Assignment,Deixar atribuição de política
Leave Policy Assignment Overlap,Deixar sobreposição de atribuição de política
Leave Policy Detail,Deixe detalhes da política
Leave Policy Details,Deixe detalhes da política
Leave Policy: {0} already assigned for Employee {1} for period {2} to {3},Política de licença: {0} já atribuído ao Funcionário {1} para o período {2} a {3}
Leave Settings,Sair das configurações
Leave Status Notification,Deixar notificação de status
Leave Status Notification Template,Deixe o modelo de notificação de status
Leave Type,Tipo de licença
Leave Type Name,Deixe o nome do tipo
Leave Type can either be compensatory or earned leave.,O tipo de licença pode ser licença compensatória ou merecida.
Leave Type can either be without pay or partial pay,O tipo de licença pode ser sem remuneração ou com remuneração parcial
Leave Type is mandatory,O tipo de licença é obrigatório
Leave Type {0} cannot be allocated since it is leave without pay,O tipo de licença {0} não pode ser alocado porque é uma licença sem remuneração
Leave Type {0} cannot be carry-forwarded,O tipo de licença {0} não pode ser transferido
Leave Type {0} is not encashable,Deixe o tipo {0} não é recuperável
Leave Without Pay,Sair sem remuneração
Leave Without Pay does not match with approved {} records,Leave Without Pay não corresponde aos registros {} aprovados
"Leave allocation is skipped for {0}, because number of leaves to be allocated is 0.",A alocação de licenças é ignorada para {0} porque o número de licenças a serem alocadas é 0.
Leave allocation {0} is linked with the Leave Application {1},A alocação de licença {0} está vinculada ao Pedido de Licença {1}
Leave already have been assigned for this Leave Policy Assignment,As licenças já foram atribuídas para esta atribuição de política de licenças
Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,O pedido de licença está vinculado às alocações de licença {0}. O pedido de licença não pode ser definido como licença sem remuneração
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","As férias não podem ser alocadas antes de {0}, pois o saldo de férias já foi transferido no futuro registro de alocação de férias {1}"
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","As férias não podem ser aplicadas/canceladas antes de {0}, pois o saldo das férias já foi transferido no registro de alocação de férias futuro {1}"
Leave of type {0} cannot be longer than {1}.,A licença do tipo {0} não pode ser superior a {1}.
Leave(s) Expired,Licença(s) expirada(s)
Leave(s) Pending Approval,Licença(s) com aprovação pendente
Leave(s) Taken,Licença(s) tirada(s)
Leaves,Folhas
Leaves & Holidays,Folhas e feriados
Leaves After Adjustment,Folhas após ajuste
Leaves Allocated,Folhas alocadas
Leaves Expired,Folhas expiradas
Leaves Pending Approval,Deixa Aprovação Pendente
Leaves for the Leave Type {0} won't be carry-forwarded since carry-forwarding is disabled.,"As licenças do tipo de licença {0} não serão transferidas, pois o transporte está desativado."
Leaves per Year,Folhas por ano
Leaves to Adjust,Folhas para ajustar
Leaves you can avail against a holiday you worked on. You can claim Compensatory Off Leave using Compensatory Leave Request. Click {0} to know more,Folhas que você pode aproveitar em um feriado em que trabalhou. Você pode solicitar licença compensatória usando Solicitação de licença compensatória. Clique em {0} para saber mais
Letter Head,Cabeçalho
Level,Nível
License Plate,Matrícula
Lifecycle,Vida útil
Lime,Lima
Link,Link
Link the cycle and tag KRA to your goal to update the appraisal's goal score based on the goal progress,Vincule o ciclo e marque KRA à sua meta para atualizar a pontuação da meta da avaliação com base no progresso da meta
Linked Project {} and Tasks deleted.,Projeto vinculado {} e tarefas excluídas.
Loan,Empréstimo
Loan Account,Conta de empréstimo
Loan Product,Produto de empréstimo
Loan Repayment,Reembolso de Empréstimo
Loan Repayment Entry,Entrada de reembolso de empréstimo
Loan cannot be repayed from salary for Employee {0} because salary is processed in currency {1},O empréstimo não pode ser reembolsado com base no salário do Funcionário {0} porque o salário é processado na moeda {1}
Location,Localização
Location / Device ID,Localização/ID do dispositivo
Location Name,Nome do local
Lodging Required,Alojamento obrigatório
Log Type,Tipo de registro
Log Type is required for check-ins falling in the shift: {0}.,O tipo de registro é obrigatório para check-ins no turno: {0}.
Login Failed,Falha no login
Longitude,Longitude
Lower Range,Faixa inferior
MICR,MICR
Make Bank Entry,Faça entrada bancária
Mandatory,Obrigatório
Mandatory Benefit Application,Solicitação de benefício obrigatório
Mandatory fields required for this action:,Campos obrigatórios para esta ação:
Mandatory fields required in {0},Campos obrigatórios exigidos em {0}
Manual,Manual
Manual Rating,Classificação manual
Manually,Manualmente
Mar,março
Mark Attendance,Marcar presença
Mark Auto Attendance on Holidays,Marcar atendimento automático em feriados
Mark as Completed,Marcar como concluído
Mark as In Progress,Marcar como em andamento
Mark as {0},Marcar como {0}
Mark attendance as {0} for {1} on selected dates?,Marcar presença como {0} para {1} nas datas selecionadas?
Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,Marcar presença com base em 'Checkin de funcionários' para funcionários atribuídos a este turno.
Mark attendance for existing check-in/out logs before changing shift settings,Marque a presença nos registros de check-in/out existentes antes de alterar as configurações de turno
Mark {0} as Completed?,Marcar {0} como concluído?
Mark {0} {1} as {2}?,Marcar {0} {1} como {2}?
Marked Attendance,Presença Marcada
Marked Attendance HTML,HTML de presença marcada
Marking Attendance,Marcando Presença
Max Amount Eligible For Claim,Valor máximo elegível para reivindicação
Max Benefit Amount,Valor máximo do benefício
Max Benefit Amount (Yearly),Valor máximo do benefício (anual)
Max Benefits (Amount),Benefícios máximos (valor)
Max Benefits (Yearly),Benefícios máximos (anual)
Max Exemption Amount,Valor máximo de isenção
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},O valor máximo de isenção não pode ser maior que o valor máximo de isenção {0} da categoria de isenção fiscal {1}
Max Taxable Income,Lucro tributável máximo
Max working hours against Timesheet,Máximo de horas de trabalho em relação ao quadro de horários
Maximum Benefit Amount,Valor máximo do benefício
Maximum Carry Forwarded Leaves,Máximo de folhas encaminhadas
Maximum Consecutive Leaves Allowed,Máximo de folhas consecutivas permitidas
Maximum Consecutive Leaves Exceeded,Máximo de folhas consecutivas excedido
Maximum Encashable Leaves,Máximo de folhas encaixáveis
Maximum Exempted Amount,Valor máximo isento
Maximum Exemption Amount,Valor Máximo de Isenção
Maximum Leave Allocation Allowed per Leave Period,Alocação máxima de férias permitida por período de licença
Maximum Overtime Hours Allowed,Máximo de horas extras permitidas
Maximum Overtime Hours Allowed Per Day,Máximo de horas extras permitidas por dia
Maximum annual taxable income eligible for full tax relief. No tax is applied if income does not exceed this limit,Rendimento tributável anual máximo elegível para redução fiscal total. Nenhum imposto é aplicado se a renda não exceder esse limite
Maximum encashable leaves for {0} are {1},O máximo de licenças resgatáveis ​​para {0} é {1}
Maximum leave allowed in the leave type {0} is {1},A licença máxima permitida no tipo de licença {0} é {1}
May,Poderia
Meal Preference,Preferência de refeição
Medical,Médico
Message,Mensagem
Mileage,Quilometragem
Min Taxable Income,Lucro tributável mínimo
Minimum Year for Gratuity,Ano mínimo para gorjeta
Minimum working days required since Date of Joining to apply for this leave,Dias úteis mínimos exigidos desde a data de adesão para solicitar esta licença
Missing Advance Account,Falta de conta antecipada
Missing Field,Campo ausente
Missing Fields,Campos ausentes
Missing Mandatory Field,Campo obrigatório ausente
Missing Opening Entries,Entradas de abertura ausentes
Missing Relieving Date,Data de alívio ausente
Missing Salary Components,Componentes salariais ausentes
Missing Tax Slab,Placa fiscal ausente
Mode of Travel,Modo de viagem
Mode of payment is required to make a payment,A forma de pagamento é necessária para efetuar um pagamento
Model,Modelo
Monday,Segunda-feira
Month,Mês
Month To Date,Do mês até a data
Month To Date(Company Currency),Acumulado no mês (moeda da empresa)
Monthly,Mensal
Monthly Attendance Sheet,Folha de Presença Mensal
More,Mais
More Info,Mais informações
More than one selection for {0} not allowed,Mais de uma seleção para {0} não é permitida
Multiple Additional Salaries with overwrite property exist for Salary Component {0} between {1} and {2}.,Existem vários salários adicionais com propriedade de substituição para o componente salarial {0} entre {1} e {2}.
Multiple Shift Assignments,Atribuições de múltiplos turnos
Multipliers that adjust the hourly overtime amount for specific scenarios||||||,Multiplicadores que ajustam o valor das horas extras por hora para cenários específicos||||||
My Account,Minha conta
Name,Nome
Name error,Erro de nome
Name of Organizer,Nome do Organizador
Naming Series,Série de nomenclatura
Net Pay,Salário líquido
Net Pay (Company Currency),Pagamento líquido (moeda da empresa)
Net Pay Info,Informações de pagamento líquido
Net Pay cannot be less than 0,O salário líquido não pode ser inferior a 0
Net Salary Amount,Valor do salário líquido
Net pay cannot be negative,O salário líquido não pode ser negativo
New,Novo
New Employee ID,ID do novo funcionário
New Feedback,Novos comentários
New Leave(s) Allocated,Nova(s) licença(s) alocada(s)
New Leaves Allocated,Novas folhas alocadas
New Leaves Allocated (In Days),Novas folhas alocadas (em dias)
New shift assignments will be created after this date.,Novas atribuições de turno serão criadas após esta data.
No,Não
No Bank/Cash Account found for currency {0}. Please create one under company {1}.,Nenhuma conta bancária/dinheiro encontrada para a moeda {0}. Crie um na empresa {1}.
No Data,Sem dados
No Employee Found,Nenhum funcionário encontrado
No Employee found for the given employee field value. '{}': {},Nenhum funcionário encontrado para o valor do campo de funcionário fornecido. '{}': {}
No Employees Selected,Nenhum funcionário selecionado
No Holiday List was found for Employee {0} or their company {1} for date {2}. Please assign through {3},Nenhuma lista de feriados foi encontrada para o funcionário {0} ou sua empresa {1} para a data {2}. Por favor atribua através de {3}
No Interview has been scheduled.,Nenhuma entrevista foi agendada.
No Leave Period Found,Nenhum período de licença encontrado
No Leaves Allocated to Employee: {0} for Leave Type: {1},Nenhuma licença alocada ao funcionário: {0} para tipo de licença: {1}
No Salary Slip found for Employee: {0},Nenhum comprovante de salário encontrado para o funcionário: {0}
No Salary Slips with {0} found for employee {1} for payroll period {2}.,Nenhum comprovante de salário com {0} encontrado para o funcionário {1} para o período processado na folha de pagamento {2}.
No Salary Structure Assignment found for employee {0} on date {1},Nenhuma atribuição de estrutura salarial encontrada para o funcionário {0} na data {1}
No Salary Structure Assignment found for employee {0} on or before {1},Nenhuma atribuição de estrutura salarial encontrada para o funcionário {0} em ou antes de {1}
No Salary Structure assigned to Employee {0} on the given date {1},Nenhuma estrutura salarial atribuída ao funcionário {0} na data especificada {1}
No Salary Structures,Sem estruturas salariais
No Shift Requests Selected,Nenhuma solicitação de turno selecionada
No Staffing Plans found for this Designation,Nenhum plano de pessoal encontrado para esta designação
No active Salary Structure Assignment found for employee {0} with salary structure {1} on or after arrear start date {2},Nenhuma Atribuição de Estrutura Salarial ativa encontrada para o funcionário {0} com estrutura salarial {1} ​​na data de início atrasada {2} ou após
No active employee found associated with the email ID {0}. Try logging in with your employee email ID or contact your HR manager for access.,Nenhum funcionário ativo encontrado associado ao ID de e-mail {0}. Tente fazer login com seu ID de e-mail de funcionário ou entre em contato com seu gerente de RH para obter acesso.
No active or default Salary Structure found for employee {0} for the given dates,Nenhuma estrutura salarial ativa ou padrão encontrada para o funcionário {0} nas datas fornecidas
No additional expenses has been added,Nenhuma despesa adicional foi adicionada
No applicable Earning component found in last salary slip for Gratuity Rule: {0},Nenhum componente de ganho aplicável foi encontrado no último comprovante de salário para a regra de gratificação: {0}
No applicable Earning components found for Gratuity Rule: {0},Nenhum componente de ganho aplicável foi encontrado para a regra de gratificação: {0}
No applicable slab found for the calculation of gratuity amount as per the Gratuity Rule: {0},Nenhuma laje aplicável foi encontrada para o cálculo do valor da gorjeta de acordo com a Regra de Gratificação: {0}
No arrear components found in the existing salary slips.,Não foram encontrados componentes em atraso nos comprovantes de salário existentes.
No arrear components found in the salary slip. Ensure Arrear Component is checked in the Salary Component master.,Não foram encontrados componentes atrasados ​​no comprovante de salário. Certifique-se de que o Componente Atrasado esteja marcado no cadastro do Componente Salarial.
No arrear details found,Nenhum detalhe atrasado encontrado
No attendance records found for employee {0} between {1} and {2},Nenhum registro de presença encontrado para o funcionário {0} entre {1} e {2}
No attendance records found for this criteria.,Nenhum registro de frequência encontrado para este critério.
No attendance records found.,Nenhum registro de presença encontrado.
No attendance records to create due to following reasons,Nenhum registro de presença para criar devido aos seguintes motivos
No changes found in timings.,Nenhuma alteração encontrada nos horários.
No employees found,Nenhum funcionário encontrado
No employees found for the mentioned criteria:<br>Company: {0}<br> Currency: {1}<br>Payroll Payable Account: {2},Nenhum funcionário encontrado para os critérios mencionados:<br>Empresa: {0}<br> Moeda: {1}<br>Conta a pagar da folha de pagamento: {2}
No employees found for the selected criteria,Nenhum funcionário encontrado para os critérios selecionados
No employees found with selected filters and active salary structure,Nenhum funcionário encontrado com filtros selecionados e estrutura salarial ativa
No feedback has been received yet,Nenhum feedback foi recebido ainda
No items selected,Nenhum item selecionado
No leave allocation found for {0} for {1} on given date.,Nenhuma alocação de licença encontrada para {0} para {1} em determinada data.
No leave record found for employee {0} on {1},Nenhum registro de licença encontrado para o funcionário {0} em {1}
No leaves have been allocated.,Nenhuma licença foi alocada.
No more updates,Não há mais atualizações
No of. Positions,Não de. Posições
No replies from,Nenhuma resposta de
No salary slip found to submit for the above selected criteria OR salary slip already submitted,Nenhum comprovante de salário encontrado para enviar para os critérios selecionados acima OU comprovante de salário já enviado
No salary slips found for the selected employee from {0},Nenhum comprovante de salário encontrado para o funcionário selecionado de {0}
No valid shift found for log time,Nenhum turno válido encontrado para o horário de registro
No {0} Selected,Nenhum {0} selecionado
Non Diary,Não Diário
Non Taxable Earnings,Lucros não tributáveis
Non-Billed Hours,Horas não faturadas
Non-Billed Hours (NB),Horas Não Faturadas (NB)
Non-Encashable Leaves,Folhas não encaixáveis
Non-Vegetarian,Não Vegetariano
Not Allowed,Não permitido
Not Permitted,Não permitido
Note,Observação
Note: Shift will not be overwritten in existing attendance records,Nota: O turno não será substituído nos registros de presença existentes
Note: Total allocated leaves {0} shouldn't be less than already approved leaves {1} for the period,Nota: O total de licenças alocadas {0} não deve ser inferior às licenças já aprovadas {1} para o período
"Note: Your salary slip is password protected, the password to unlock the PDF is of the format {0}.","Obs: Seu comprovante de salário é protegido por senha, a senha para desbloquear o PDF é no formato {0}."
Nothing to change,Nada para mudar
Notice Period,Período de aviso prévio
Notification Template,Modelo de notificação
Notify users by email,Notificar usuários por e-mail
Nov,Novembro
Number Of Employees,Número de funcionários
Number Of Positions,Número de posições
Number of Leaves,Número de folhas
Number of Withholding Cycles,Número de ciclos de retenção
Number of leaves eligible for encashment based on leave type settings,Número de licenças elegíveis para cobrança com base nas configurações de tipo de licença
OUT,FORA
Obtained Average Rating,Classificação média obtida
Oct,Outubro
Odometer Reading,Leitura do odômetro
Odometer Value,Valor do odômetro
Off-Shift,Fora do turno
Off-shift,Fora do turno
Offer Date,Data da oferta
Offer Term,Prazo da oferta
Offer Terms,Termos da oferta
Old Parent,Velho pai
On Date,Na data
On Duty,De plantão
On Hold,Em espera
On Leave,De licença
Onboarding Activities,Atividades de integração
Onboarding Begins On,A integração começa em
Only Approvers can Approve this Request.,Somente os aprovadores podem aprovar esta solicitação.
Only Completed documents can be submitted,Somente documentos preenchidos podem ser enviados
Only Employee Grievance with status {0} or {1} can be submitted,Somente reclamações de funcionários com status {0} ou {1} podem ser enviadas
Only Interviewer Are allowed to submit Interview Feedback,Somente o entrevistador pode enviar feedback da entrevista
Only Interviews with Cleared or Rejected status can be submitted.,Somente entrevistas com status Liberado ou Rejeitado podem ser enviadas.
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Somente inscrições de saída com status 'Aprovado' e 'Rejeitado' podem ser enviadas
Only Shift Request with status 'Approved' and 'Rejected' can be submitted,Somente solicitação de turno com status 'Aprovado' e 'Rejeitado' poderá ser enviada
Only expired allocation can be cancelled,Somente a alocação expirada pode ser cancelada
Only interviewers can submit feedback,Somente entrevistadores podem enviar feedback
Only users with the {0} role can create backdated leave applications,Somente usuários com a função {0} podem criar solicitações de licença retroativas
